# race_id	signature
TSAN-0028	Modules/_threadmodule.c:_thread_RLock__acquire_restore_impl | Modules/_threadmodule.c:rlock_repr
TSAN-0028	Modules/_threadmodule.c:_thread_RLock__release_save_impl | Modules/_threadmodule.c:rlock_repr
TSAN-0028	Modules/_threadmodule.c:rlock_repr | Python/lock.c:_PyRecursiveMutex_LockTimed
TSAN-0028	Modules/_threadmodule.c:rlock_repr | Python/lock.c:_PyRecursiveMutex_TryUnlock
TSAN-0029	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_char_relaxed | Python/instrumentation.c:_Py_call_instrumentation_line
TSAN-0029	Objects/frameobject.c:frame_trace_opcodes_set_impl | Python/legacy_tracing.c:call_trace_func
TSAN-0029	Objects/frameobject.c:frame_trace_opcodes_set_impl | Python/legacy_tracing.c:sys_trace_instruction_func
TSAN-0029	Objects/frameobject.c:frame_trace_opcodes_set_impl | Python/sysmodule.c:trace_trampoline
TSAN-0030	Python/instrumentation.c:monitoring_clear_tool_id_impl | Python/instrumentation.c:monitoring_free_tool_id_impl
TSAN-0030	Python/instrumentation.c:monitoring_free_tool_id_impl | Python/instrumentation.c:monitoring_get_tool_impl
TSAN-0030	Python/instrumentation.c:monitoring_free_tool_id_impl | Python/instrumentation.c:monitoring_use_tool_id_impl
TSAN-0030	Python/instrumentation.c:monitoring_get_tool_impl | Python/instrumentation.c:monitoring_use_tool_id_impl
TSAN-0030	Python/instrumentation.c:monitoring_use_tool_id_impl | Python/instrumentation.c:monitoring_use_tool_id_impl
TSAN-0031	Modules/_elementtree.c:element_add_subelement | Modules/_elementtree.c:element_resize
TSAN-0031	Modules/_elementtree.c:treebuilder_extend_element_text_or_tail | Modules/_elementtree.c:treebuilder_extend_element_text_or_tail
TSAN-0031	Modules/_elementtree.c:treebuilder_extend_element_text_or_tail | Modules/_elementtree.c:treebuilder_flush_data
TSAN-0031	Modules/_elementtree.c:treebuilder_extend_element_text_or_tail | Modules/_elementtree.c:treebuilder_handle_data
TSAN-0031	Modules/_elementtree.c:treebuilder_flush_data | Modules/_elementtree.c:treebuilder_handle_data
TSAN-0031	Modules/_elementtree.c:treebuilder_flush_data | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_comment | Modules/_elementtree.c:treebuilder_handle_end
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_comment | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_data | Modules/_elementtree.c:treebuilder_handle_end
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_data | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_end | Modules/_elementtree.c:treebuilder_handle_pi
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_end | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_pi | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0031	Modules/_elementtree.c:treebuilder_handle_start | Modules/_elementtree.c:treebuilder_handle_start
TSAN-0032	Modules/_io/bufferedio.c:_io__Buffered_detach_impl | Modules/_io/bufferedio.c:buffered_iternext
TSAN-0034	Python/pylifecycle.c:handle_thread_shutdown_exception | Python/pystate.c:add_threadstate
TSAN-0034	Python/pylifecycle.c:handle_thread_shutdown_exception | Python/pystate.c:tstate_delete_common
TSAN-0035	Modules/socketmodule.c:sock_gettimeout_impl | Modules/socketmodule.c:sock_setblocking
